period, FourierSums
     1 ,     440.64
     2 ,     -40.99
     3 ,    -117.81
     4 ,    1293.38
     5 ,    -493.36
     6 ,   -3776.55
     7 ,     117.92
     8 ,     794.89
     9 ,    1232.70
    10 ,   -2280.04
    11 ,   -2039.50
    12 ,    1550.25
    13 ,   -2892.20
    14 ,    1531.25
    15 ,   -1813.30
    16 ,    -219.72
    17 ,    -990.89
    18 ,    3486.87
    19 ,    3915.46
    20 ,    1470.33
    21 ,    -529.31
    22 ,    2216.34
    23 ,     316.24
    24 ,     301.24
    25 ,  526793.12
    26 ,     839.38
    27 ,    2071.54
    28 ,   -1705.57
    29 ,    -266.87
    30 ,   -2092.31
    31 ,    -255.52
    32 ,     176.38
    33 ,    1300.66
    34 ,   -1881.23
    35 ,     354.68
    36 ,   -1370.51
    37 ,    -882.44
    38 ,    -735.20
    39 ,    1690.24
    40 ,   -4221.40
    41 ,     -87.51
    42 ,    -761.31
    43 ,     -27.65
    44 ,    2734.39
    45 ,   -1552.84
    46 ,   -1380.90
    47 ,    -216.14
    48 ,     447.72
    49 ,    2436.36
    50 ,   -4613.03
    51 ,   -3135.07
    52 ,   -2932.46
    53 ,    1066.73
    54 ,     353.01
    55 ,     728.41
    56 ,     375.93
    57 ,    1162.99
    58 ,    -975.02
    59 ,     157.90
    60 ,     -18.40
    61 ,     792.55
    62 ,      29.90
    63 ,     373.22
    64 ,   -1765.28
    65 ,    1536.37
    66 ,    1494.51
    67 ,   -4615.57
    68 ,    1995.13
    69 ,   -1802.55
    70 ,  787516.00
    71 ,    -846.07
    72 ,    -911.69
    73 ,    -914.39
    74 ,     679.52
    75 ,     209.49
    76 ,    1346.89
    77 ,    2175.74
    78 ,    4911.24
    79 ,    4297.02
    80 ,     148.04
    81 ,   -2722.52
    82 ,    -908.06
    83 ,    -632.76
    84 ,    1724.50
    85 ,   -1528.23
    86 ,   -1146.33
    87 ,   -1812.85
    88 ,   -2015.16
    89 ,     -51.03
    90 ,   -2361.05
    91 ,   -3482.74
    92 ,     416.03
    93 ,     765.27
    94 ,    2410.25
    95 ,    -969.53
    96 ,    2538.82
    97 ,   -2578.51
    98 ,   -1849.94
    99 ,    -572.91
